EpisodeLength,Reward,step,model_number,RunID,Env,Selection,Crossover,LR
200,-1054.2944614737357,1,33,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1075.0827944431446,1,34,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1496.231352732438,1,35,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1302.7866119894288,1,36,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1356.1018842179906,1,37,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1057.75687682329,1,38,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1009.5770363009806,1,39,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1358.7720521197878,1,40,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1310.8078145950683,1,41,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1045.2232780801728,1,42,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1055.832802185527,1,43,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1066.0192082177311,1,44,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1325.6161134007375,1,45,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1405.3855369707453,1,46,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1165.4913483204916,1,47,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1178.6591053945892,1,48,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1275.7738218902666,1,49,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1526.4489784104505,0,0,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1519.5166187536686,0,1,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1318.901385481662,0,2,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1629.9654143007363,0,3,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1880.7260176949424,0,4,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1068.80458977331,0,5,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
